Date,Open,High,Low,Close,Volume,Market Cap
2018-07-04,0.037112701684236526,0.04822640120983124,0.03702060133218765,0.0439567007124424,6432540.0,26374020.0
2018-07-05,0.04410549998283386,0.04410549998283386,0.038993898779153824,0.03991970047354698,974880.0,23951820.0
2018-07-06,0.0399571992456913,0.04180470108985901,0.03761279955506325,0.04052940011024475,713334.0,24317640.0
2018-07-07,0.04058900102972984,0.04280930012464523,0.03987110033631325,0.04280930012464523,789543.0,25685580.0
2018-07-08,0.042768098413944244,0.044001199305057526,0.04174309968948364,0.041840098798274994,405953.0,25104060.0
2018-07-09,0.04192569851875305,0.042002998292446136,0.04007919877767563,0.0402011014521122,484794.0,24120660.0
2018-07-10,0.04017740115523338,0.04057060182094574,0.03482230007648468,0.03485710173845291,423797.0,20914260.0
2018-07-11,0.035013601183891296,0.03617360070347786,0.032774198800325394,0.03407739847898483,580769.0,20446440.0
2018-07-12,0.034077201038599014,0.03868760168552399,0.031769901514053345,0.03375620022416115,1979720.0,20253720.0
2018-07-13,0.03392560034990311,0.03665199875831604,0.033903300762176514,0.03465620055794716,905129.0,20793720.0
2018-07-14,0.03457209840416908,0.03525669872760773,0.033139899373054504,0.03354639932513237,395582.0,20127840.0
2018-07-15,0.033492300659418106,0.03587250038981438,0.03288469836115837,0.03522289916872978,533368.0,21133740.0
2018-07-16,0.03522070124745369,0.03745979815721512,0.03479680046439171,0.03736190125346184,829347.0,22417140.0
2018-07-17,0.03737819939851761,0.04164209961891174,0.03692900016903877,0.04149629920721054,793461.0,24897780.0
2018-07-18,0.04151500016450882,0.044169098138809204,0.040049999952316284,0.04104429855942726,1088560.0,24626580.0
2018-07-19,0.04101179912686348,0.04160640016198158,0.03901040181517601,0.039230599999427795,428432.0,23538360.0
2018-07-20,0.03933250159025192,0.039597298949956894,0.033676598221063614,0.03435840085148811,867311.0,20615040.0
2018-07-21,0.034385401755571365,0.03918449953198433,0.03317280113697052,0.03768710047006607,1067760.0,22612260.0
2018-07-22,0.03758449852466583,0.03758449852466583,0.0359686017036438,0.03645329922437668,460065.0,21871980.0
2018-07-23,0.036460500210523605,0.038051098585128784,0.03440430015325546,0.03470810130238533,567635.0,20824860.0
2018-07-24,0.03473600000143051,0.043367501348257065,0.0341573990881443,0.03860040009021759,2053730.0,23160240.0
2018-07-25,0.037860698997974396,0.03956200182437897,0.03578989952802658,0.03792690113186836,1049940.0,22756140.0
2018-07-26,0.037722401320934296,0.039351098239421844,0.03592110052704811,0.036418501287698746,441663.0,21851100.0
2018-07-27,0.036408498883247375,0.03902469947934151,0.03530089929699898,0.03741089999675751,1057010.0,22446540.0
2018-07-28,0.03740990161895752,0.03839639946818352,0.03645259886980057,0.037325698882341385,348144.0,22395420.0
2018-07-29,0.03745200112462044,0.06838300079107285,0.037086401134729385,0.050228800624608994,33730100.0,30137280.0
2018-07-30,0.049755,0.0517582,0.0404378,0.0425198,6693420.0,25511880.0
2018-07-31,0.0417962,0.0417962,0.0351446,0.0357964,1986560.0,21477840.0
2018-08-01,0.0359033,0.0380964,0.0342972,0.0352461,1666250.0,21147660.0
2018-08-02,0.0352201,0.0358583,0.0327146,0.0331766,1093760.0,19905960.0
2018-08-03,0.0331796,0.0331796,0.0294369,0.0310509,714676.0,18630540.0
2018-08-04,0.0311826,0.0318342,0.0291877,0.0298699,465252.0,17921940.0
2018-08-05,0.0296964,0.0323291,0.0287795,0.0317821,421297.0,19069260.0
2018-08-06,0.0318564,0.0319286,0.0291702,0.0294364,350640.0,17661840.0
2018-08-07,0.0294781,0.0332699,0.0286868,0.0289854,1178390.0,17391240.0
2018-08-08,0.0291248,0.0291407,0.0257179,0.0266348,470377.0,15980880.0
2018-08-09,0.0267123,0.0290882,0.0265252,0.0286151,364422.0,17169060.0
2018-08-10,0.0285784,0.0288756,0.0253943,0.0255908,323275.0,15354480.0
2018-08-11,0.0255938,0.0258447,0.0240432,0.0252932,275854.0,15175920.0
2018-08-12,0.0252287,0.0254072,0.0239476,0.0240705,224557.0,14442300.0
